WORD	WORD COUNT		LEMMA	LEMMA COUNT
responded	14		fellow	12
key	14		matter	12
unique	14		pay	12
mental	14		notice	12
guidance	14		overwhelm	12
stories	14		aware	12
mighty	14		reward	12
mountains	14		rely	12
From	13		evening	12
watch	13		shine	12
everyone	13		mention	12
caused	13		manner	12
mark	13		bishopric	12
wondered	13		addition	12
recent	13		emphasize	12
center	13		activity	12
view	13		wise	12
Instead	13		measure	12
Like	13		modern	12
yes	13		surely	12
Testament	13		joyfully	12
spoke	13		warm	12
anyone	13		correct	12
reach	13		govern	12
leads	13		habit	12
extend	13		salt	11
respect	13		force	11
conversion	13		safety	11
helps	13		earthly	11
talk	13		ground	11
move	13		imperfection	11
Any	13		value	11
free	13		Lord.	11
clearly	13		fire	11
ancient	13		confidence	11
Master	13		life.	11
sincere	13		similar	11
significant	13		aspect	11
expected	13		achieve	11
six	13		report	11
participate	13		behavior	11
short	13		belong	11
nothing	13		adversity	11
meetings	13		compassionate	11
obedience	13		doctor	11
includes	13		prophecy	11
generations	13		belonging	11
wish	13		recommend	11
married	13		wherever	11
present	13		R.	11
Seventies	13		L.	11
J.	13		S.	11
however	13		preside	11
powers	13		administer	11
patience	13		avoid	11
sing	13		nevertheless	11
Ensign	13		weep	11
Liahona	13		current	11
commitment	13		certain	11
pains	13		24	11
die	13		active	11
hymn	13		specific	11
burdens	13		engage	11
humanitarian	13		million	11
marriage	13		decade	11
blind	13		fit	11
nations	13		stone	11
humbly	13		oh	11
surgery	13		27	11
effort	13		manifestation	11
yea	13		hide	11
trial	13		sight	11
impossible	13		deacon	11
Are	13		priest	11
rock	13		ongoing	11
sequential	13		raise	11
global	12		hospital	11
step	12		answere	11
privilege	12		religious	11
political	12		earthquake	11
realize	12		firm	11
completely	12		finisher	11
behind	12		Philippines	11
23	12		illness	11
humble	12		character	11
profound	12		Cleiton	11
Have	12		office	10
arrived	12		involve	10
bad	12		closer	10
attending	12		cast	10
attend	12		instruction	10
F.	12		mistake	10
Follow	12		culture	10
stopped	12		descend	10
finally	12		urge	10
effects	12		beget	10
response	12		special	10
Be	12		tempt	10
you.	12		safe	10
stop	12		midst	10
decided	12		preparation	10
social	12		deeply	10
arms	12		quickly	10
save	12		discover	10
visited	12		game	10
whatever	12		blood	10
earlier	12		community	10
qualify	12		jail	10
Dallin	12		lack	10
turning	12		image	10
fellow	12		Finally	10
companion	12		regarde	10
account	12		appreciation	10
minister	12		behalf	10
couple	12		Damon	10
aware	12		council	10
sorrow	12		contribution	10
divinely	12		giveth	10
evening	12		problem	10
easy	12		22	10
despite	12		ultimately	10
manner	12		succor	10
brethren	12		necessary	10
addition	12		dream	10
starting	12		perfectly	10
reminded	12		advantage	10
modern	12		Ruth	10
surely	12		subject	10
joyfully	12		resolve	10
Will	12		25	10
send	12		28	10
hurricanes	12		baby	10
indeed	11		big	10
thank	11		organize	10
Salt	11		nature	10
Lake	11		cancer	10
continues	11		energy	10
tree	11		remarkable	10
progress	11		instruct	10
listen	11		miraculous	10
assist	11		destiny	10
Is	11		Moses	10
safety	11		victory	10
earthly	11		Abraham	10
appeared	11		ultimate	10
invites	11		flesh	10
provided	11		attitude	10
imperfections	11		people.	10
weaknesses	11		expression	10
branch	11		devastate	10
sat	11		do.	10
identity	11		lot	10
wait	11		quote	10
happen	11		thine	10
Lord.	11		narrative	10
caring	11		goodness	9
conflict	11		inherit	9
described	11		sanctify	9
thoughts	11		charity	9
confidence	11		aside	9
life.	11		immortality	9
vision	11		transform	9
focused	11		contrite	9
angel	11		physically	9
seed	11		freely	9
Years	11		Adam	9
medical	11		adversary	9
Here	11		anger	9
using	11		intense	9
quorums	11		everlasting	9
role	11		Nephites	9
behavior	11		finish	9
leaving	11		outcome	9
belong	11		song	9
angels	11		constant	9
acts	11		remark	9
compassionate	11		recall	9
Good	11		shoe	9
Samaritan	11		shepherd	9
least	11		weekend	9
gifts	11		bind	9
assurance	11		talent	9
plead	11		pull	9
returning	11		mourn	9
Later	11		worry	9
performed	11		pioneer	9
got	11		pattern	9
rest	11		Isaiah	9
evil	11		renew	9
determined	11		detail	9
express	11		assignment	9
wherever	11		party	9
R.	11		Elijah	9
L.	11		seer	9
join	11		Holland	9
S.	11		release	9
rise	11		effective	9
number	11		devote	9
loss	11		announce	9
certain	11		trouble	9
matters	11		grant	9
24	11		dispensation	9
entered	11		forsake	9
active	11		form	9
specific	11		common	9
country	11		peaceful	9
fit	11		flow	9
27	11		car	9
begins	11		gate	9
kept	11		agree	9
judge	11		Brigham	9
Bishop	11		due	9
responsibilities	11		continually	9
expressed	11		heartfelt	9
ongoing	11		thinke	9
head	11		separate	9
Remember	11		world.	9
answered	11		marvelous	9
wise	11		mile	9
religious	11		exactly	9
belief	11		Joshua	9
obey	11		rescue	9
article	11		worth	9
Heaven	11		saith	9
obtain	11		infirmity	9
Philippines	11		April	9
illness	11		partake	9
Faith	11		merciful	9
require	11		grand	9
requires	11		quality	9
worked	11		chasten	9
Cleiton	11		limit	9
lessons	10		seven	9
meant	10		sequence	9
increased	10		grandpa	9
Beloved	10		feast	9
spoken	10		Simon	9
closer	10		volunteer	9
assured	10		slope	9
ground	10		attendance	9
reveal	10		Russian	9
fulfilled	10		project	8
shalt	10		growe	8
special	10		division	8
Consider	10		flaw	8
baptism	10		honest	8
choice	10		compare	8
fire	10		advance	8
waiting	10		striving	8
situation	10		suppose	8
seemed	10		pressure	8
midst	10		enemy	8
preparing	10		rich	8
generation	10		train	8
wrong	10		fun	8
class	10		doesn	8
Me	10		additional	8
similar	10		setting	8
deeply	10		crucial	8
quickly	10		particular	8
rabbits	10		surround	8
blood	10		resource	8
showed	10		sweet	8
results	10		2018	8
turned	10		delight	8
followers	10		Bednar	8
joined	10		researcher	8
weeks	10		inside	8
chose	10		equal	8
older	10		attention	8
becomes	10		team	8
direct	10		possibility	8
Liberty	10		Her	8
five	10		fundamental	8
increasing	10		universal	8
Third	10		student	8
Finally	10		medium	8
Miracles	10		positive	8
belonging	10		race	8
regarding	10		sheep	8
event	10		abide	8
sides	10		miss	8
perform	10		garden	8
appreciation	10		contribute	8
behalf	10		tongue	8
Damon	10		acknowledge	8
Peace	10		eternally	8
giveth	10		devotion	8
current	10		case	8
22	10		2019	8
ultimately	10		ahead	8
carried	10		holiness	8
noticed	10		warn	8
area	10		impact	8
necessary	10		succeed	8
struggling	10		ancestor	8
perfectly	10		vote	8
Ruth	10		acting	8
faced	10		August	8
25	10		dedicate	8
Rather	10		price	8
28	10		latter-day	8
dad	10		access	8
baby	10		eventually	8
strengthening	10		occasion	8
bishops	10		jeff	8
fast	10		accident	8
used	10		various	8
witnessed	10		appoint	8
died	10		element	8
nature	10		Corinthians	8
cancer	10		mankind	8
disciple	10		unfair	8
remarkable	10		local	8
Moses	10		precept	8
hospital	10		crown	8
source	10		enormous	8
Abraham	10		girl	8
flesh	10		seemingly	8
people.	10		wash	8
behold	10		yoke	8
therefore	10		dwell	8
warm	10		stress	8
do.	10		Aaronic	8
finisher	10		priority	8
mountain	10		program	8
established	10		prophetic	8
thine	10		faith.	8
habits	10		successful	8
straight	10		ship	8
write	10		sink	8
rely	10		bread	8
narrative	10		disappointment	8
Thank	9		motivate	8
record	9		tomb	8
provides	9		difficulty	8
changing	9		Ann	8
charge	9		minute	8
war	9		ocean	8
goodness	9		complex	8
cast	9		phrase	8
King	9		impress	8
mistakes	9		steady	8
heavens	9		broadcast	8
opened	9		net	8
aside	9		dedication	8
immortality	9		regardless	8
Trust	9		low	8
contrite	9		mistakenly	8
physically	9		Finland	8
soon	9		Finn	8
temptations	9		root	7
freely	9		remove	7
Adam	9		identify	7
adversary	9		individually	7
anger	9		hearing	7
intense	9		half	7
everlasting	9		confusion	7
enjoy	9		astonish	7
preparation	9		magnificent	7
Nephites	9		transgression	7
expectations	9		design	7
makes	9		comprehend	7
final	9		despair	7
game	9		men.	7
stakes	9		position	7
Take	9		knock	7
names	9		task	7
constant	9		season	7
adversity	9		abuse	7
Jail	9		bed	7
lack	9		them.	7
shoes	9		Todd	7
city	9		battle	7
united	9		suddenly	7
By	9		welfare	7
Isaiah	9		anxiety	7
recognized	9		opposition	7
Elijah	9		nurture	7
seeing	9		christlike	7
recommend	9		Lamanites	7
complete	9		fulfillment	7
lifted	9		acquire	7
Can	9		condition	7
ll	9		video	7
Counselor	9		improve	7
Holland	9		control	7
effective	9		unexpected	7
Great	9		talke	7
dispensation	9		lay	7
common	9		duty	7
peaceful	9		unity	7
Lamb	9		maintain	7
added	9		south	7
issues	9		hurt	7
Brigham	9		depression	7
younger	9		level	7
understands	9		Quincy	7
Nothing	9		refugee	7
continually	9		herself	7
Oh	9		eat	7
continuing	9		stream	7
wisdom	9		eve	7
heartfelt	9		represent	7
decades	9		Africa	7
big	9		heritage	7
studied	9		anticipate	7
accepted	9		godliness	7
chosen	9		intent	7
world.	9		white	7
marvelous	9		easily	7
counseled	9		W.	7
saints	9		Kimball	7
asks	9		Jeffrey	7
miles	9		Stevenson	7
Priesthood	9		revelators	7
elders	9		Michael	7
exactly	9		P.	7
letting	9		professional	7
instructed	9		opinion	7
goal	9		2020	7
miraculous	9		latter	7
destiny	9		original	7
Joshua	9		figure	7
victory	9		Jehovah	7
saith	9		balm	7
resurrection	9		money	7
include	9		rule	7
ultimate	9		compromise	7
